seq_idx,header,rank,start_pos,end_pos,trough_pos,width_bp,mean_residual,gc_pct,nonB_motifs,n_motif_types
0,FP002678 SP140L_1            :+U  EU:NC; range -3000 to  3000.,1,-82,-33,-78,50,-0.31613,49.15,STR;DirectRepeat,2
1,FP001173 ATP1A2_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-165,50,-0.20683,66.1,STR;DirectRepeat,2
1,FP001173 ATP1A2_1            :+U  EU:NC; range -3000 to  3000.,2,-46,3,-46,50,-0.45874,50.85,STR;DirectRepeat;Triplex,3
2,FP001463 SLC45A3_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-37,-44,164,-0.14109,71.1,STR;DirectRepeat,2
3,FP013346 FAAP100_1           :+U  EU:NC; range -3000 to  3000.,1,-189,-140,-189,50,-0.14118,76.27,STR;DirectRepeat,2
3,FP013346 FAAP100_1           :+U  EU:NC; range -3000 to  3000.,2,-138,-88,-103,51,-0.15297,80.0,STR;DirectRepeat,2
3,FP013346 FAAP100_1           :+U  EU:NC; range -3000 to  3000.,3,-86,40,37,127,-0.07862,79.41,STR;DirectRepeat,2
4,FP004916 PDE6A_1             :+U  EU:NC; range -3000 to  3000.,1,-146,-97,-129,50,-0.28123,49.15,STR;DirectRepeat,2
5,FP010517 HTR2A_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-103,-107,98,-0.32219,38.32,STR;DirectRepeat;Triplex,3
6,FP001711 CPSF3_1             :+U  EU:NC; range -3000 to  3000.,1,-187,-138,-143,50,-0.65998,77.97,STR;DirectRepeat,2
7,FP006135 DBNL_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-182,50,-0.06974,62.71,DirectRepeat,1
7,FP006135 DBNL_1              :+U  EU:NC; range -3000 to  3000.,2,-6,43,28,50,-0.28918,77.97,STR;DirectRepeat,2
9,FP014670 PRKCG_1             :+U  EU:NC; range -3000 to  3000.,1,-176,-100,-110,77,-0.57415,73.26,STR;DirectRepeat;Triplex,3
12,FP016217 NUP62CL_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-159,50,-0.89249,57.63,STR;DirectRepeat,2
13,FP012289 WDR59_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-191,50,-0.4413,66.1,STR;DirectRepeat,2
13,FP012289 WDR59_1             :+U  EU:NC; range -3000 to  3000.,2,-150,-73,-120,78,-0.11439,62.07,STR;DirectRepeat;Triplex,3
14,FP003909 KIT_1               :+U  EU:NC; range -3000 to  3000.,1,-178,-3,-56,176,-0.09993,75.68,G4;STR;DirectRepeat;Triplex,4
15,FP012324 SDR42E1_1           :+U  EU:NC; range -3000 to  3000.,1,-198,-146,-160,53,-0.393,61.29,STR;DirectRepeat,2
17,FP003144 PRKCD_1             :+U  EU:NC; range -3000 to  3000.,1,-163,-45,-54,119,-0.11888,81.25,G4;STR;DirectRepeat,3
18,FP004341 CCDC110_1           :+U  EU:NC; range -3000 to  3000.,1,-160,-95,-99,66,-0.42047,78.67,iMotif;STR;DirectRepeat,3
18,FP004341 CCDC110_1           :+U  EU:NC; range -3000 to  3000.,2,-12,37,-12,50,-0.21354,77.97,STR;DirectRepeat,2
19,FP000906 NBPF15_1            :+U  EU:NC; range -3000 to  3000.,1,-164,-115,-120,50,-0.67947,40.68,STR;DirectRepeat,2
19,FP000906 NBPF15_1            :+U  EU:NC; range -3000 to  3000.,2,-112,37,17,150,-0.118,37.11,STR;PolyT;DirectRepeat,3
20,FP004835 PCDHA7_1            :+U  EU:NC; range -3000 to  3000.,1,-195,-146,-171,50,-1.35753,22.03,STR;PolyA;DirectRepeat;Triplex,4
22,FP007111 PKHD1L1_1           :+U  EU:NC; range -3000 to  3000.,1,-104,-55,-62,50,-0.47555,72.88,ZDNA;STR;DirectRepeat,3
22,FP007111 PKHD1L1_1           :+U  EU:NC; range -3000 to  3000.,2,-178,-105,-123,74,-0.10645,62.65,STR;DirectRepeat,2
23,FP001213 FCGR3A_1            :+U  EU:NC; range -3000 to  3000.,1,-181,-68,-75,114,-0.10692,52.85,STR;DirectRepeat;Triplex,3
24,FP011910 ACSM3_1             :+U  EU:NC; range -3000 to  3000.,1,-47,2,-40,50,-0.15778,50.85,STR;DirectRepeat,2
26,FP008157 PSAP_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-161,50,-0.39897,62.71,STR;DirectRepeat,2
26,FP008157 PSAP_1              :+U  EU:NC; range -3000 to  3000.,2,-133,-17,-77,117,-0.05906,68.25,STR;DirectRepeat,2
27,FP007363 UBAP1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-186,50,-0.79165,50.85,STR;DirectRepeat,2
28,FP005297 BAG6_1              :+U  EU:NC; range -3000 to  3000.,1,-189,-34,-45,156,-0.16983,60.61,ZDNA;STR;DirectRepeat;Triplex,4
29,FP002835 MKRN2_1             :+U  EU:NC; range -3000 to  3000.,1,-5,44,30,50,-0.41891,79.66,DirectRepeat,1
29,FP002835 MKRN2_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-194,50,-0.32772,71.19,STR;DirectRepeat,2
30,FP001677 ZNF669_1            :+U  EU:NC; range -3000 to  3000.,1,-101,-52,-101,50,-0.36589,69.49,STR;DirectRepeat;Triplex,3
31,FP009201 CAPN5_1             :+U  EU:NC; range -3000 to  3000.,1,-121,-60,-66,62,-0.2257,80.28,STR;DirectRepeat,2
31,FP009201 CAPN5_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-122,-128,79,-0.16125,77.27,STR;DirectRepeat,2
32,FP003028 ATRIP_1             :+U  EU:NC; range -3000 to  3000.,1,-191,-12,-48,180,-0.09381,74.07,STR;DirectRepeat,2
33,FP001459 LEMD1_1             :+U  EU:NC; range -3000 to  3000.,1,-50,-1,-40,50,-0.61305,69.49,STR;DirectRepeat,2
33,FP001459 LEMD1_1             :+U  EU:NC; range -3000 to  3000.,2,-184,-135,-141,50,-0.31264,67.8,DirectRepeat;Triplex,2
33,FP001459 LEMD1_1             :+U  EU:NC; range -3000 to  3000.,3,-134,-51,-69,84,-0.051,62.37,STR;DirectRepeat,2
34,FP001157 CADM3_1             :+U  EU:NC; range -3000 to  3000.,1,-119,-60,-98,60,-0.57036,75.36,STR;DirectRepeat,2
34,FP001157 CADM3_1             :+U  EU:NC; range -3000 to  3000.,2,-198,-120,-175,79,-0.0669,73.86,G4;STR;DirectRepeat;Triplex,4
35,FP009019 MRPL49_1            :+U  EU:NC; range -3000 to  3000.,1,-193,-144,-185,50,-0.68707,61.02,DirectRepeat;Triplex,2
35,FP009019 MRPL49_1            :+U  EU:NC; range -3000 to  3000.,2,-120,-1,-22,120,-0.11505,68.22,STR;DirectRepeat,2
37,FP010423 RNF6_1              :+U  EU:NC; range -3000 to  3000.,1,-197,-138,-186,60,-0.11,62.32,STR;DirectRepeat;Triplex,3
37,FP010423 RNF6_1              :+U  EU:NC; range -3000 to  3000.,2,-110,-59,-61,52,-0.07837,52.46,DirectRepeat,1
38,FP007327 IFNA5_1             :+U  EU:NC; range -3000 to  3000.,1,-140,-66,-86,75,-0.08242,33.33,STR;DirectRepeat;Triplex,3
38,FP007327 IFNA5_1             :+U  EU:NC; range -3000 to  3000.,2,-191,-142,-147,50,-0.07811,27.12,STR;DirectRepeat,2
39,FP005751 CEP85L_1            :+U  EU:NC; range -3000 to  3000.,1,-179,-123,-127,57,-0.58724,60.61,STR;DirectRepeat,2
40,FP009044 EFEMP2_1            :+U  EU:NC; range -3000 to  3000.,1,-134,-85,-88,50,-0.63323,79.66,STR;DirectRepeat,2
40,FP009044 EFEMP2_1            :+U  EU:NC; range -3000 to  3000.,2,-82,-2,-7,81,-0.17429,84.44,STR;DirectRepeat,2
41,FP001014 SPRR4_1             :+U  EU:NC; range -3000 to  3000.,1,-198,-130,-161,69,-0.37968,46.15,STR;DirectRepeat,2
42,FP012677 ULK2_1              :+U  EU:NC; range -3000 to  3000.,1,-188,-126,-173,63,-0.07132,75.0,STR;DirectRepeat,2
43,FP000681 GIPC2_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-47,-91,154,-0.07133,53.37,G4;STR;DirectRepeat,3
44,FP013250 HN1_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-141,-171,60,-0.05094,68.12,STR;DirectRepeat;Triplex,3
45,FP006136 HIP_1               :+U  EU:NC; range -3000 to  3000.,1,-115,-66,-78,50,-0.42681,79.66,STR;DirectRepeat,2
45,FP006136 HIP_1               :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-173,50,-0.40508,69.49,STR;DirectRepeat,2
