seq_idx,header,seq_length,mean_perp,sd_perp,min_perp,n_regions,total_region_bp,pct_seq_in_regions,best_mean_residual
0,FP002678 SP140L_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1166,1.4256,1.0,1,50,0.83,-0.31613
1,FP001173 ATP1A2_1            :+U  EU:NC; range -3000 to  3000.,6001,5.978,1.4387,1.0,2,100,1.67,-0.20683
2,FP001463 SLC45A3_1           :+U  EU:NC; range -3000 to  3000.,6001,6.0197,1.5447,1.4174,1,164,2.73,-0.14109
3,FP013346 FAAP100_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1174,1.4098,1.0,3,228,3.8,-0.14118
4,FP004916 PDE6A_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2563,1.3888,1.0,1,50,0.83,-0.28123
5,FP010517 HTR2A_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2209,1.3372,1.9813,1,98,1.63,-0.32219
6,FP001711 CPSF3_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2731,1.3698,1.0,1,50,0.83,-0.65998
7,FP006135 DBNL_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0169,1.4821,1.0,2,100,1.67,-0.06974
8,FP004844 PCDHB2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1975,1.3843,1.0,0,0,0.0,
9,FP014670 PRKCG_1             :+U  EU:NC; range -3000 to  3000.,6001,5.6371,1.4559,1.4174,1,77,1.28,-0.57415
10,FP003439 IL20RB_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2167,1.4478,1.0,0,0,0.0,
11,FP002276 IMP4_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2775,1.3372,1.0,0,0,0.0,
12,FP016217 NUP62CL_1           :+U  EU:NC; range -3000 to  3000.,6001,6.0,1.5163,1.0,1,50,0.83,-0.89249
13,FP012289 WDR59_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1399,1.568,1.0,2,128,2.13,-0.4413
14,FP003909 KIT_1               :+U  EU:NC; range -3000 to  3000.,6001,6.1717,1.3992,1.0,1,176,2.93,-0.09993
15,FP012324 SDR42E1_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2569,1.3499,1.0,1,53,0.88,-0.393
16,FP006500 CADPS2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1376,1.4078,1.0,0,0,0.0,
17,FP003144 PRKCD_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9165,1.4757,1.0,1,119,1.98,-0.11888
18,FP004341 CCDC110_1           :+U  EU:NC; range -3000 to  3000.,6001,6.0469,1.496,1.0,2,116,1.93,-0.42047
19,FP000906 NBPF15_1            :+U  EU:NC; range -3000 to  3000.,6001,5.8939,1.588,1.0,2,200,3.33,-0.67947
20,FP004835 PCDHA7_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2115,1.4217,1.0,1,50,0.83,-1.35753
21,FP008533 ATHL1_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9859,1.4385,1.0,0,0,0.0,
22,FP007111 PKHD1L1_1           :+U  EU:NC; range -3000 to  3000.,6001,5.9651,1.4584,1.0,2,124,2.07,-0.47555
23,FP001213 FCGR3A_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2161,1.4251,1.0,1,114,1.9,-0.10692
24,FP011910 ACSM3_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9076,1.5773,1.0,1,50,0.83,-0.15778
25,FP000827 SLC16A4_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2259,1.5067,1.0,0,0,0.0,
26,FP008157 PSAP_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1144,1.5281,1.0,2,167,2.78,-0.39897
27,FP007363 UBAP1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0936,1.6289,1.0,1,50,0.83,-0.79165
28,FP005297 BAG6_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1132,1.4822,1.0,1,156,2.6,-0.16983
29,FP002835 MKRN2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.166,1.4438,1.0,2,100,1.67,-0.41891
30,FP001677 ZNF669_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2224,1.4109,1.0,1,50,0.83,-0.36589
31,FP009201 CAPN5_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0494,1.414,1.9813,2,141,2.35,-0.2257
32,FP003028 ATRIP_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2706,1.4402,1.0,1,180,3.0,-0.09381
33,FP001459 LEMD1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0109,1.5042,1.0,3,184,3.07,-0.61305
34,FP001157 CADM3_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9855,1.4091,1.4174,2,139,2.32,-0.57036
35,FP009019 MRPL49_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2745,1.4173,1.0,2,170,2.83,-0.68707
36,FP014570 FUZ_1               :+U  EU:NC; range -3000 to  3000.,6001,6.0878,1.6194,1.0,0,0,0.0,
37,FP010423 RNF6_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2154,1.408,1.0,2,112,1.87,-0.11
38,FP007327 IFNA5_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0116,1.4563,1.9813,2,125,2.08,-0.08242
39,FP005751 CEP85L_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1033,1.5127,1.0,1,57,0.95,-0.58724
40,FP009044 EFEMP2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0918,1.4242,1.0,2,131,2.18,-0.63323
41,FP001014 SPRR4_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2122,1.3753,1.0,1,69,1.15,-0.37968
42,FP012677 ULK2_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1368,1.4847,1.0,1,63,1.05,-0.07132
43,FP000681 GIPC2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2267,1.4201,1.0,1,154,2.57,-0.07133
44,FP013250 HN1_1               :+U  EU:NC; range -3000 to  3000.,6001,6.1707,1.5104,1.0,1,60,1.0,-0.05094
45,FP006136 HIP_1               :+U  EU:NC; range -3000 to  3000.,6001,6.0158,1.4803,1.0,2,100,1.67,-0.42681
46,FP015565 UQCR10_1            :+U  EU:NC; range -3000 to  3000.,6001,6.3345,1.3825,1.0,1,55,0.92,-0.38011
47,FP006979 XKR9_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1681,1.4644,1.0,1,50,0.83,-0.29555
48,FP014752 ZFP28_1             :+U  EU:NC; range -3000 to  3000.,6001,6.145,1.4305,1.0,2,100,1.67,-1.75341
49,FP003561 ACTRT3_1            :+U  EU:NC; range -3000 to  3000.,6001,5.5591,1.7437,1.0,2,110,1.83,-0.36847
50,FP006721 DEFB107B_1          :+U  EU:NC; range -3000 to  3000.,6001,6.0376,1.4579,1.0,1,58,0.97,-0.42777
51,FP009358 ZPR1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.231,1.3499,2.3366,1,174,2.9,-0.10002
52,FP009707 ITPR2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0206,1.4864,1.9813,1,119,1.98,-0.13787
53,FP016341 F9_1                :+U  EU:NC; range -3000 to  3000.,6001,6.205,1.4004,1.0,1,62,1.03,-0.28456
54,FP011853 DEXI_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1866,1.4119,1.9813,1,86,1.43,-0.1771
55,FP007253 MFSD3_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0474,1.3696,1.9813,1,50,0.83,-0.80359
56,FP002791 EDEM1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1003,1.4254,1.0,0,0,0.0,
57,FP013410 MYOM1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2582,1.4028,1.0,1,50,0.83,-1.00203
58,FP016208 NRK_1               :+U  EU:NC; range -3000 to  3000.,6001,6.0791,1.4304,1.0,1,83,1.38,-0.14429
59,FP002890 LRRC3B_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0544,1.4413,1.0,2,163,2.72,-0.21974
60,FP010228 PPP1CC_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1525,1.4615,1.0,1,50,0.83,-0.74374
61,FP003937 TMPRSS11D_1         :+U  EU:NC; range -3000 to  3000.,6001,6.0208,1.4303,1.0,1,50,0.83,-0.46373
62,FP003810 QDPR_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1747,1.3875,1.0,3,188,3.13,-0.61489
63,FP001416 ARL8A_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1677,1.4146,1.0,1,173,2.88,-0.14484
64,FP007256 LRRC24_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9392,1.415,1.0,2,100,1.67,-0.30993
65,FP003776 MRFAP1L1_1          :+U  EU:NC; range -3000 to  3000.,6001,6.2551,1.4134,1.0,1,103,1.72,-0.19012
66,FP003634 IGF2BP2_1           :+U  EU:NC; range -3000 to  3000.,6001,5.7734,1.5209,1.0,2,100,1.67,-0.28047
67,FP011858 PRM1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1787,1.4213,1.0,2,131,2.18,-0.19868
68,FP010910 MTHFD1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2428,1.4427,1.0,1,50,0.83,-0.84893
69,FP013735 MRPL54_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2209,1.4975,1.0,0,0,0.0,
70,FP010255 PLBD2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0016,1.5482,1.0,0,0,0.0,
71,FP000260 TMEM57_1            :+U  EU:NC; range -3000 to  3000.,6001,6.112,1.4318,1.0,1,50,0.83,-0.41135
72,FP003501 ERICH6_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9283,1.5825,1.0,0,0,0.0,
73,FP002819 VHL_1               :+U  EU:NC; range -3000 to  3000.,6001,6.2344,1.5322,1.0,0,0,0.0,
74,FP006573 TRIM24_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0226,1.5184,1.0,1,50,0.83,-1.1249
75,FP009442 NRGN_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0636,1.4194,1.4174,1,50,0.83,-0.6581
76,FP014296 SELV_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0765,1.5279,1.0,0,0,0.0,
77,FP003796 HS3ST1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1637,1.4743,1.0,1,50,0.83,-0.50626
78,FP015494 TOP3B_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1705,1.4419,1.0,1,54,0.9,-0.1419
79,FP012603 LINC00675_1         :+U  EU:NC; range -3000 to  3000.,6001,6.2642,1.3362,1.0,1,50,0.83,-0.16535
80,FP000529 LRRC41_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1046,1.449,1.0,1,69,1.15,-0.29612
81,FP003524 KCNAB1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1767,1.3971,1.9813,1,51,0.85,-0.50745
82,FP014729 UBE2S_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2275,1.4401,1.0,0,0,0.0,
83,FP003875 GNPDA2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1691,1.4781,1.0,0,0,0.0,
84,FP011846 GRIN2A_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9669,1.4736,1.0,1,206,3.43,-0.08535
85,FP010545 ATP7B_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1152,1.4346,1.0,2,222,3.7,-0.31037
86,FP002673 TRIP12_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9599,1.5276,1.0,2,250,4.17,-0.7361
87,FP013197 AMZ2_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2148,1.5079,1.0,2,102,1.7,-0.23989
88,FP005837 PLAGL1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0837,1.4154,1.0,1,50,0.83,-0.36444
89,FP006304 SAMD9L_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1442,1.384,1.0,0,0,0.0,
90,FP008644 CYB5R2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1552,1.3781,1.0,1,172,2.87,-0.15309
91,FP005412 PNPLA1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2387,1.4426,1.0,1,123,2.05,-0.26089
92,FP013350 OXLD1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2295,1.4297,1.0,0,0,0.0,
93,FP005735 DSE_1               :+U  EU:NC; range -3000 to  3000.,6001,6.1219,1.4535,1.0,1,50,0.83,-0.65963
94,FP000331 PTPRU_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9704,1.4672,1.0,2,119,1.98,-0.64792
95,FP016159 XKRX_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1935,1.459,1.0,2,122,2.03,-0.51652
96,FP002475 WDR75_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2221,1.3904,1.0,1,50,0.83,-0.20677
97,FP010584 SPRY2_1             :+U  EU:NC; range -3000 to  3000.,6001,5.968,1.5207,1.0,1,50,0.83,-0.81626
98,FP001127 BCAN_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1417,1.4857,1.0,1,50,0.83,-0.19022
99,FP002794 SSUH2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1153,1.3577,1.9813,2,157,2.62,-0.67534
100,FP013864 COL5A3_1            :+U  EU:NC; range -3000 to  3000.,6001,5.8743,1.4817,1.4174,1,50,0.83,-0.51489
101,FP010747 TINF2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2701,1.4899,1.0,0,0,0.0,
102,FP005648 CNR1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0572,1.3841,1.9813,2,102,1.7,-0.56349
103,FP007371 SIGMAR1_1           :+U  EU:NC; range -3000 to  3000.,6001,6.0775,1.5083,1.0,1,106,1.77,-0.2737
104,FP010027 HMGA2_1             :+U  EU:NC; range -3000 to  3000.,6001,5.8611,1.5241,1.0,2,102,1.7,-0.94544
105,FP012029 ZNF785_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2655,1.4545,1.0,0,0,0.0,
106,FP015756 PNPLA3_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1012,1.4494,1.0,1,50,0.83,-0.85775
107,FP007049 ESRP1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0852,1.4967,1.0,1,57,0.95,-0.1849
108,FP013953 KLF1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1248,1.4396,1.0,1,118,1.97,-0.2122
109,FP009196 EMSY_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1672,1.4322,1.0,2,116,1.93,-0.33456
110,FP001544 BPNT1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0306,1.6458,1.0,0,0,0.0,
111,FP004805 DNAJC18_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2057,1.4481,1.0,0,0,0.0,
112,FP011777 PRSS27_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9576,1.4733,1.0,2,135,2.25,-0.47293
113,FP007799 RALGDS_1            :+U  EU:NC; range -3000 to  3000.,6001,5.875,1.4906,1.0,2,119,1.98,-0.3024
114,FP005610 IMPG1_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9999,1.4531,1.0,1,50,0.83,-0.70543
115,FP012160 SLC38A7_1           :+U  EU:NC; range -3000 to  3000.,6001,6.234,1.4749,1.0,0,0,0.0,
116,FP000890 MAN1A2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0619,1.4572,1.0,1,50,0.83,-1.43993
117,FP012748 NF1_1               :+U  EU:NC; range -3000 to  3000.,6001,5.9695,1.5569,1.0,1,50,0.83,-0.66926
118,FP004376 NDUFS6_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1325,1.3824,1.0,1,50,0.83,-0.25207
119,FP008360 PPRC1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1111,1.4643,1.0,0,0,0.0,
120,FP010467 SERTM1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1801,1.3952,1.9813,0,0,0.0,
121,FP005351 PSMB8_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2361,1.3934,1.0,2,114,1.9,-0.49938
122,FP005143 BLOC1S5_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1974,1.3797,1.9813,1,137,2.28,-0.16679
